,0,1,1128,3173,3174,3175,3176,3196,3197,3198,3561,3764,3765,3801,3804,3805,3807,3808,3809,3816,3818,3819,3820,3821,3827,3830,3836,3843,3853,3854,3855,3856,3857,3858,3859,3860,3861,3866,3868,3869,3876,3880,3883,3885,3886,3887,3888,3889,3890,3892,3893,3904,3905,3906,3907,3919,3938,3939,3940,3941,3942,3943,3944,3945,3946,3947,3948,3949,3950,4052,4235,6395,6509,6514,6533
0,0.0,7093.24,3681.88,10914.47,8502.92,8443.6,10645.02,8037.44,8266.88,8532.29,8349.45,6372.67,6082.27,4522.87,4838.87,4617.9,4187.67,4364.18,4581.66,6207.55,6130.6,6000.59,6101.55,5732.28,6013.15,4123.4,5776.06,6034.98,5854.95,5964.0,6523.3,6001.65,6192.7,6331.65,6160.1,5885.96,5819.87,4532.17,5377.48,5804.23,5302.39,4403.6,4192.07,6359.25,6468.18,6770.5,6283.21,6008.52,5879.23,5754.93,5999.49,7037.94,7385.16,6767.03,6204.82,7935.04,6541.44,6326.46,6424.51,6488.95,7149.55,7271.37,6657.75,6501.96,7053.11,6941.28,7033.36,6697.57,6981.67,6829.73,6471.27,6290.4,6555.81,4615.5,5440.22
1,7284.57,0.0,8881.85,9925.83,10149.34,9839.49,9656.38,10711.78,10275.92,10080.55,9575.46,9346.77,8825.61,9722.83,10168.01,9947.05,9387.63,9056.04,8780.42,8754.36,8873.93,8743.92,8844.88,8475.62,8756.48,9323.37,8519.39,8778.31,8598.29,8707.33,9266.64,8744.98,8936.03,9074.99,8903.43,8629.29,8563.2,9732.13,9249.54,8547.56,9341.88,9732.75,9521.21,8906.06,9014.99,9317.3,8830.02,8555.33,8426.04,8301.74,8546.29,8764.3,9007.8,8615.45,7696.87,10560.26,8033.49,7818.52,7916.56,7981.0,8930.39,9189.77,8149.81,7994.02,8315.04,8216.64,9580.17,9244.38,9528.48,8678.15,7963.33,9033.73,6103.18,8746.58,8785.88
1128,3580.88,8540.3,0.0,7532.97,6463.59,6404.28,7263.52,5998.12,6227.55,6492.96,6310.12,2632.51,2342.11,840.99,2001.31,1780.35,505.79,682.3,899.78,2855.61,1797.96,1667.95,1768.92,1992.12,2272.99,441.52,2035.89,1702.34,2114.79,2351.08,2130.11,1962.25,2228.47,2077.83,1827.47,2145.79,2079.7,850.29,1549.32,1471.6,1641.65,1566.05,1354.51,2672.2,2831.59,3133.91,3083.79,3315.05,3444.33,3289.37,3033.45,4919.17,4649.45,4481.84,4776.38,5895.71,4892.61,4677.63,4529.05,4532.97,4413.84,4535.66,4778.5,4622.71,4663.27,4551.44,4643.51,3498.16,4245.96,4710.96,4783.79,2550.23,6104.24,933.61,1085.65
3173,10213.13,9966.69,7738.65,0.0,344.82,702.49,478.68,1613.66,987.11,791.75,2015.64,4780.88,4650.36,6305.06,7458.72,7237.76,6262.01,6049.39,5773.77,4188.47,5893.55,5763.53,5864.5,5040.6,4997.22,6546.03,4942.85,5797.93,4933.39,5042.43,5316.89,5163.95,4986.29,5125.24,5358.15,5194.28,4869.13,6313.23,6131.15,5567.18,6545.37,7023.46,6811.93,4340.17,4449.09,4751.41,4039.52,3941.38,3969.58,4469.7,4213.78,4193.92,3924.2,3756.59,4051.13,1462.15,4167.36,3952.38,3803.8,3807.72,3688.59,3810.41,4053.25,3897.46,3938.02,3826.19,3918.26,4098.34,3520.71,3985.71,4058.54,5042.74,4623.22,5739.93,5776.5
3174,10362.23,10115.78,7887.75,332.01,0.0,368.91,627.78,1094.67,1006.15,810.78,1554.24,4929.97,4799.45,6454.16,7607.82,7386.86,6411.1,6198.48,5922.86,4337.56,6042.64,5912.63,6013.59,5189.7,5146.31,6695.12,5091.95,5947.02,5082.48,5191.53,5465.99,5313.05,5135.38,5274.33,5507.25,5343.38,5018.23,6462.33,6280.24,5716.27,6694.47,7172.56,6961.02,4489.26,4598.19,4900.51,4188.61,4090.48,4118.67,4618.79,4362.88,4343.02,4073.3,3905.68,4200.22,1611.24,4316.45,4101.48,3952.89,3956.82,3837.68,3959.51,4202.35,4046.56,4087.11,3975.28,4067.36,4247.43,3669.8,4134.81,4207.63,5191.83,4772.31,5889.03,5925.6
3175,10227.34,10073.34,7752.86,289.57,355.49,0.0,358.22,807.52,719.0,523.64,1267.09,4795.08,4664.57,6319.27,7472.93,7251.97,6276.21,6063.6,5787.97,4202.67,5907.75,5777.74,5878.71,5054.81,5011.43,6560.23,4957.06,5812.14,4947.6,5056.64,5331.1,5178.16,5000.5,5139.45,5372.36,5208.49,4883.34,6327.44,6145.35,5581.39,6559.58,7037.67,6826.13,4354.38,4463.3,4765.62,4053.73,3955.59,3983.79,4483.91,4227.99,4208.13,3938.41,3770.8,4065.34,1476.36,4181.57,3966.59,3818.0,3821.93,3702.8,3824.62,4067.46,3911.67,3952.23,3840.4,3932.47,4112.54,3534.91,3999.92,4072.75,5056.94,4637.43,5754.14,5790.71
3176,9869.13,9735.14,7394.65,404.12,627.64,951.23,0.0,1269.65,619.55,424.18,1671.63,4436.87,4306.35,5961.06,7114.72,6893.75,5918.0,5705.38,5429.76,3844.46,5549.54,5419.53,5520.49,4696.6,4653.21,6202.02,4598.84,5453.92,4589.38,4698.42,4972.88,4819.94,4642.28,4781.23,5014.14,4850.27,4525.13,5969.22,5787.14,5223.17,6201.36,6679.45,6467.92,3996.16,4105.09,4407.4,3695.51,3597.37,3625.57,4125.69,3869.77,3849.91,3580.19,3412.58,3707.12,1118.14,3823.35,3608.37,3459.79,3463.71,3344.58,3466.4,3709.24,3553.45,3594.01,3482.18,3574.25,3754.33,3176.7,3641.7,3714.53,4698.73,4279.21,5395.92,5432.5
3196,9215.34,9133.76,6740.85,753.83,523.58,464.27,708.07,0.0,229.96,495.37,460.09,3783.08,3652.56,5307.27,6460.92,6239.96,5264.21,5051.59,4775.97,3190.67,4895.75,4765.73,4866.7,4042.81,3999.42,5548.23,3945.05,4800.13,3935.59,4044.63,4319.09,4166.15,3988.49,4127.44,4360.35,4196.48,3871.33,5315.43,5133.35,4569.38,5547.57,6025.66,5814.13,3342.37,3451.29,3753.61,3041.72,2943.58,2971.78,3471.9,3215.98,3196.12,2926.4,2758.79,3053.33,151.51,3169.56,2954.58,2806.0,2809.92,2690.79,2812.61,3055.45,2899.66,2940.22,2828.39,2920.46,3100.54,2522.91,2987.91,3060.74,4044.94,3278.25,4742.13,4778.7
3197,9444.77,9363.19,6970.29,983.27,753.02,693.7,619.55,229.96,0.0,275.38,689.53,4012.51,3881.99,5536.7,6690.36,6469.4,5493.64,5281.02,5005.4,3420.1,5125.18,4995.17,5096.13,4272.24,4228.85,5777.66,4174.49,5029.56,4165.02,4274.07,4548.53,4395.59,4217.92,4356.88,4589.79,4425.92,4100.77,5544.87,5362.78,4798.82,5777.01,6255.1,6043.56,3571.8,3680.73,3983.05,3271.15,3173.02,3201.22,3701.34,3445.42,3425.56,3155.84,2988.22,3282.76,380.95,3398.99,3184.02,3035.43,3039.36,2920.22,3042.05,3284.89,3129.1,3169.65,3057.82,3149.9,3329.97,2752.34,3217.35,3290.17,4274.37,3507.68,4971.57,5008.14
