id,lat,lon
0,38.737235,-9.387461
1,38.74494,-9.327972
3071,38.715400696,-9.427280426
3072,38.71680069,-9.427080154
3565,38.706199646,-9.41849041
3567,38.70349884,-9.418379784
3568,38.701099396,-9.41411972
3569,38.697799683,-9.419560432
3571,38.697200775,-9.420479774
3573,38.699401855,-9.422860146
3574,38.698001862,-9.424920082
3575,38.696601868,-9.424530029
3576,38.691101074,-9.429269791
3577,38.691101074,-9.42343998
3578,38.691898346,-9.424110413
3579,38.694900513,-9.427889824
3580,38.695301056,-9.428779602
3582,38.696300507,-9.430199623
3583,38.696998596,-9.430830002
3584,38.700500488,-9.433199883
3626,38.708099365,-9.421469688
3628,38.70470047,-9.422389984
3630,38.707801819,-9.420209885
3667,38.716701508,-9.432760239
3668,38.717601776,-9.431790352
3669,38.697498322,-9.423469543
3670,38.701900482,-9.419839859
3679,38.698001862,-9.419989586
3683,38.698600769,-9.421489716
3686,38.699798584,-9.418970108
3690,38.699798584,-9.418410301
3692,38.700099945,-9.420619965
3694,38.700000763,-9.421330452
3696,38.69839859,-9.420180321
3698,38.700401306,-9.41821003
3700,38.697498322,-9.42249012
3703,38.69549942,-9.421019554
3711,38.710800171,-9.418199539
3716,38.708999634,-9.416830063
3724,38.702400208,-9.421910286
3728,38.697898865,-9.430930138
3735,38.698898315,-9.420479774
3737,38.703399658,-9.434490204
3794,38.705101013,-9.395389557
3877,38.703899384,-9.40680027
6397,38.694499969,-9.424420357
6406,38.700698853,-9.418910027
6449,38.704498291,-9.421110153
6531,38.697517395,-9.429498672
6573,38.698699951,-9.426059723
