,0,1,319,976,1127,2989,2990,2991,2992,2993,2994,2995,2996,2997,3024,3033,3034,3035,3036,3037,3038,3039,3040,3041,3042,3043,3044,3045,3046,3047,3048,3049,3050,3051,3052,3053,3054,3055,3056,3080,3086,3092,3095,3098,3103,3104,3105,3106,3108,3109,3110,3111,3117,3122,3124,3125,3621,3622,3623,3624,3625,3627,3631,3633,3634,3671,3673,3708,3746,3824,6516,6519,6541,6542,6543,6544,6556,6557
0,0.0,7093.24,6913.03,5036.67,5922.33,2064.65,3066.21,4284.35,3969.41,4002.38,3587.42,2647.7,2545.16,2735.91,3697.79,4429.0,4986.96,4860.47,4782.83,5348.15,5150.84,5468.74,5520.04,5419.47,5364.69,5366.75,5795.28,5010.5,5757.72,5598.25,5732.22,5716.93,6106.28,6212.72,6121.56,5923.1,6107.76,5994.45,5721.07,5408.83,3833.93,5361.94,4602.91,5752.66,2801.96,5727.81,5956.49,5771.98,2773.63,3288.86,3360.57,3275.36,1709.04,3865.05,6255.79,4126.23,6251.32,6512.41,6622.08,6883.64,6909.78,6546.88,6353.59,6331.0,5369.11,6160.84,6770.15,7052.56,6138.29,5627.95,5352.5,5272.68,2334.19,5372.96,5305.08,5214.73,5322.96,3745.02
1,7284.57,0.0,13024.72,11148.36,12034.02,8813.09,9373.13,11032.8,10081.1,10114.07,9699.1,8759.39,8656.85,8847.6,9809.48,10540.69,11098.65,10972.16,10894.52,11459.84,11262.53,11580.43,11631.73,11531.16,11476.38,11478.44,11361.69,11758.95,11915.67,11809.02,12480.67,12465.37,12854.73,12961.17,12870.01,12671.54,12310.49,12106.14,11832.76,12157.27,9945.62,12110.38,11351.36,11864.35,8833.47,11294.23,11522.9,11338.4,8885.32,9400.55,9472.26,9387.05,8457.48,10613.49,13254.02,10237.92,12363.01,12624.1,12733.77,12995.33,13021.46,13165.04,12556.33,12533.73,11480.8,12363.58,12881.84,13164.25,12341.03,11739.64,11464.19,11384.37,9082.63,11484.65,11416.77,11326.42,11434.65,10493.46
319,7052.4,16932.23,0.0,1672.34,1031.46,6400.53,4853.76,4504.51,4343.72,4376.69,4415.89,4539.74,4437.19,4627.94,4526.26,2424.13,2044.63,2382.67,2267.98,1740.46,1572.18,1508.72,1560.02,1743.61,1688.83,1690.89,1956.12,2223.13,1649.52,1542.87,1379.16,1616.45,1214.53,1150.11,1248.26,1516.92,1013.84,1070.44,1419.17,1881.7,4208.24,2574.56,2777.96,1792.65,5934.48,1888.66,2117.33,1932.83,4355.66,4245.54,4317.25,4232.04,6056.18,4085.2,559.25,3628.78,662.23,412.84,371.49,55.19,326.7,470.27,858.54,1009.26,1627.5,652.8,283.79,212.96,816.56,1702.79,1392.48,1664.98,5466.72,1697.1,1629.22,1538.87,1552.0,4547.02
976,5776.36,11256.24,1690.04,0.0,1543.56,5124.49,3681.87,3914.47,3171.83,3204.81,2233.15,2809.77,2707.23,2897.98,1538.83,839.47,422.37,388.3,273.6,311.5,114.17,432.08,483.38,382.82,328.03,330.1,685.41,1344.1,1804.53,1671.68,1257.63,1465.5,1283.09,1015.47,924.31,1099.9,1410.97,1615.68,1500.73,1833.53,3036.35,767.63,1844.39,716.01,4658.44,617.95,846.62,662.12,2499.97,2515.57,2587.28,2502.08,4780.14,3495.17,1496.43,1634.41,2022.32,1772.93,1731.57,1660.64,1670.63,1407.44,1255.66,1701.04,1782.51,1530.88,1643.88,1829.57,1508.33,575.25,315.84,236.02,4190.68,336.3,268.43,178.08,286.31,3375.14
1127,6069.98,15949.82,1132.48,1544.09,0.0,5418.11,3871.34,3522.1,3361.3,3394.27,3433.47,3557.32,3454.78,3645.53,2623.03,1513.95,1134.46,1472.5,1357.8,1855.57,1658.26,1976.16,2027.46,1926.89,1872.1,1874.17,1045.95,1312.95,575.24,468.59,468.98,706.27,603.74,697.24,823.69,606.74,590.75,72.12,271.44,696.54,3225.82,1664.39,1867.78,2260.08,4952.07,978.48,1207.16,1022.65,3373.24,3263.12,3334.83,3249.62,5073.76,3102.79,473.61,2718.6,470.77,731.86,841.54,1103.09,1129.23,1029.87,836.58,448.46,553.21,378.66,989.6,1272.02,255.76,2119.33,1859.91,1780.1,4484.3,1880.37,1812.5,1722.15,1830.38,3564.61
2989,1998.91,8880.36,6486.58,5950.52,5830.63,0.0,934.75,2415.4,1442.82,1478.24,1927.92,1407.75,1423.26,1495.96,2316.52,3047.74,5540.89,3479.2,3401.56,6262.01,6064.69,6382.59,6433.89,6333.32,6278.54,6280.61,5452.38,4667.61,5414.82,5255.36,5389.33,5374.03,5763.39,5869.83,5778.67,5580.2,5764.86,5902.75,5787.8,5065.93,1596.55,5019.05,4260.02,6666.52,922.49,5384.92,5613.59,5429.09,1791.89,1645.85,1585.75,1500.54,465.06,1996.09,5912.9,2744.96,4870.05,5131.14,5240.82,6457.18,6467.17,6203.98,6010.7,5988.1,5372.92,5817.95,6440.42,6626.11,5795.4,4246.69,6266.35,6186.53,1223.81,6286.81,6218.93,6128.59,6236.82,1523.86
2990,2708.93,9590.37,4841.58,2965.22,3640.08,899.29,0.0,1551.84,752.64,788.05,1237.74,717.57,733.07,805.78,1626.34,2357.55,2915.51,2789.02,2711.38,3276.7,3079.39,3397.29,3448.59,3348.02,3293.23,3295.3,3261.84,2477.06,3224.27,3064.81,3198.78,3183.49,3572.84,3679.28,3588.12,3389.66,3574.32,3712.2,3649.62,2875.39,906.37,2828.5,2069.47,3681.21,264.25,3194.37,3423.04,3238.54,1101.7,955.66,895.57,810.36,1671.14,1132.54,3722.35,2054.78,4179.87,4440.96,4550.63,4812.19,4838.32,4013.44,3820.15,3797.56,3297.66,3627.4,4698.7,4981.11,3604.85,3556.5,3281.05,3201.23,1081.68,3301.51,3233.63,3143.28,3251.51,660.31
2991,4364.6,10864.68,4175.06,3639.0,3519.11,2368.69,1540.6,0.0,1245.78,1278.75,2294.36,1888.37,1903.87,1976.58,2404.74,3030.94,3229.37,3567.41,3452.72,3950.49,3753.17,4071.07,4122.37,4021.8,3967.02,3969.08,3140.86,2356.09,3103.3,2943.84,3077.81,3062.51,3451.87,3558.31,3467.15,3268.68,3453.34,3591.23,3476.28,2754.41,1110.3,2707.53,1948.5,4355.0,1802.04,3073.4,3302.07,3117.57,2234.13,2126.46,2066.37,1981.16,3368.38,423.38,3601.38,2438.17,4481.03,4742.11,4851.79,4145.66,4155.65,3892.46,3699.18,3676.58,3061.4,3506.43,4128.9,4314.59,3483.88,4214.24,3954.83,3875.01,2778.92,3975.29,3907.41,3817.07,3925.3,891.54
2992,2815.69,9881.6,4408.65,3348.98,3229.08,1708.17,610.28,1254.51,0.0,220.11,1033.07,512.9,528.4,601.1,1421.67,2152.88,2939.35,2584.35,2506.7,3660.46,3463.15,3781.05,3832.35,3731.78,3677.0,3679.06,2850.84,2066.07,2813.28,2653.82,2787.79,2772.49,3161.85,3268.29,3177.13,2978.66,3163.32,3301.21,3216.69,2464.39,153.73,2417.51,1658.48,4064.97,426.57,2783.38,3012.05,2827.55,897.03,750.99,690.89,605.68,1777.9,835.21,3311.35,1850.1,3746.94,4008.03,4117.71,4379.26,4405.4,3602.44,3409.15,3386.56,2864.73,3216.41,4265.77,4548.19,3193.86,3351.83,3664.81,3584.99,1188.44,3685.27,3617.39,3527.05,3635.27,900.79
