,0,1,2536,3057,3058,3059,3060,3061,3062,3063,3064,3065,3066,3067,3068,3070,3083,3088,3090,3100,3121,3127,3636,3637,3638,3639,3640,3641,3642,3643,3644,3645,3646,3647,3648,3649,3650,3651,3652,3653,3654,3661,3663,3675,3688,3709,3710,3717,3720,3721,3727,3731,3740,3743,3744,3748,3751,6370,6371,6393,6396,6408,6419,6444,6450,6488,6515,6518,6535,6545,6550,6559,6592,10684,10698
0,0.0,7093.24,10631.61,4883.68,4647.46,7911.29,8274.33,8598.22,8397.88,6891.94,7793.84,7925.85,8444.15,8643.16,9000.34,8682.84,7675.15,11793.38,7562.07,8208.19,7582.5,8730.16,6403.35,8079.54,8426.38,8070.6,7394.3,7604.49,7476.01,7674.53,6916.83,8208.38,7578.76,7991.89,8505.13,9661.9,11312.84,10012.54,9404.78,9193.73,8247.2,9252.74,9970.48,9912.2,7260.75,9226.43,7270.85,7161.91,8171.04,7527.81,10967.22,9063.58,6831.8,8568.78,8596.03,8677.58,8938.62,7287.56,6068.57,9404.78,8647.73,8122.73,4835.72,9393.1,7900.99,7007.66,8033.34,7434.66,9491.4,7878.34,8697.62,8905.96,8164.84,8660.2,7751.84
1,7284.57,0.0,20209.5,10995.37,10759.15,17489.18,17852.22,18176.11,17975.77,12638.11,13540.01,13672.03,14190.32,14389.34,14746.51,14429.02,17253.04,17539.55,13308.25,17786.08,17160.39,14476.33,12515.04,17657.43,18004.27,17648.49,16972.19,17182.38,17053.9,17252.42,16494.72,17786.27,17156.65,17569.78,18083.02,19239.79,20890.73,19590.43,18982.67,18771.62,17825.09,18830.63,19548.37,19490.09,16838.64,18804.32,16848.74,16739.8,17748.93,17105.7,20545.12,18641.47,12943.49,18146.67,18173.92,18255.47,18516.51,16865.45,12180.26,18982.67,18225.62,17700.62,10947.41,15139.27,17478.88,16585.55,17611.23,17012.55,19069.29,17456.23,18275.51,14652.14,13911.02,18238.09,17329.73
2536,10103.43,19983.27,0.0,5366.3,5130.08,3264.32,3633.2,3275.88,3556.14,4561.18,5159.74,4802.15,4306.78,4353.84,4096.6,4157.47,3028.18,6889.64,5239.34,3561.22,2935.53,3977.89,4498.65,3432.57,1976.91,2181.77,2706.6,2916.8,2156.07,2222.47,3551.43,3136.89,3240.56,2652.88,2134.66,1026.29,794.79,645.0,1377.19,2995.68,3175.7,3320.04,4215.7,860.56,3266.31,3558.88,2429.95,3622.34,1894.23,3157.5,7543.81,3412.24,4262.03,2747.55,2498.59,2011.05,3420.46,2462.78,3565.21,1377.19,2496.26,3475.76,5318.34,4489.36,2751.96,3777.07,1904.49,3108.35,3911.06,2426.3,2767.22,4558.15,5083.48,3337.86,3413.64
3057,5031.34,14911.17,5337.17,0.0,306.91,3438.67,3801.71,4040.86,3925.26,4930.3,6574.78,6706.79,6794.59,6935.46,6985.55,6536.76,3962.24,9778.58,6343.01,3735.57,3697.71,6715.37,2121.56,3606.92,4970.99,4615.2,3938.9,4149.1,4436.59,4635.1,3271.32,2903.39,2949.7,2697.45,3210.69,4367.46,6018.4,4718.1,4110.35,3888.75,2942.21,3947.75,4665.49,4617.76,3781.44,3921.45,3625.34,3516.39,4715.64,2194.85,5662.24,3758.59,2550.0,3344.26,3301.59,3383.15,3633.63,3642.05,1786.78,4110.35,3353.29,3650.11,243.5,7378.3,2606.56,3528.35,4577.95,3551.71,4186.42,4838.92,3392.63,7139.78,6945.78,5204.81,2635.3
3058,4776.51,14656.34,5082.35,318.27,0.0,3183.84,3546.88,3786.04,3670.44,4675.48,6319.95,6451.97,6539.77,6680.64,6730.72,6281.93,3707.41,9523.76,6088.19,3480.74,3442.89,6460.54,1866.73,3352.09,4716.16,4360.38,3684.08,3894.27,4181.76,4380.28,3016.49,2648.56,2694.88,2442.63,2955.86,4112.63,5763.57,4463.28,3855.52,3633.92,2687.38,3692.92,4410.67,4362.93,3526.61,3666.62,3370.52,3261.57,4460.82,1940.02,5407.41,3503.77,2295.18,3089.44,3046.76,3128.32,3378.8,3387.23,1531.95,3855.52,3098.47,3395.28,188.27,7123.48,2351.73,3273.52,4323.13,3296.88,3931.59,4584.1,3137.81,6884.95,6690.96,4949.98,2380.48
3059,8100.11,17979.94,3243.75,3553.27,3317.05,0.0,440.62,679.78,564.18,1569.22,3556.62,3688.63,3433.51,3574.38,3624.46,3175.68,601.15,6417.5,3324.85,374.49,336.63,3354.28,1603.18,245.84,1609.9,1254.12,577.82,788.02,1075.51,1274.02,1422.65,3148.8,2513.4,2942.86,3456.1,4156.48,3913.53,3775.18,4355.75,4134.15,3187.62,4193.16,4910.9,3990.75,2195.38,4166.85,1230.83,1493.57,1354.56,2440.25,5907.64,4004.0,1620.47,3589.67,3547.0,3628.55,3879.04,1275.14,2032.18,4355.75,3598.7,211.81,3505.31,4017.22,2851.96,1648.29,1216.87,414.94,4431.82,1477.84,3638.04,3778.69,3927.62,1843.73,2880.71
3060,7518.16,18316.88,3580.68,3890.2,3653.98,464.07,0.0,357.42,227.78,1232.82,3220.22,3352.23,3086.49,3227.36,3277.45,2828.66,499.94,6070.48,2988.45,443.09,673.56,3007.27,1940.11,195.05,1752.8,1591.05,914.75,1124.95,1412.44,1610.95,1759.58,3485.73,2850.33,3279.79,3793.03,4493.41,3871.22,4112.11,4692.68,4471.08,3524.55,4530.09,5247.83,4327.68,2532.31,4503.78,1567.76,1830.5,1691.49,2777.18,6244.57,4340.93,1957.4,3926.6,3883.93,3965.48,4215.97,1612.07,2369.11,4692.68,3935.63,675.51,3842.24,3670.2,3188.89,1985.22,1553.8,751.87,4768.75,1814.77,3974.97,3431.68,3591.22,1496.71,3217.64
3061,7596.8,18641.99,3271.15,4129.35,3893.14,703.22,357.42,0.0,306.42,1311.46,3298.86,3224.54,2729.17,2870.04,2920.12,2471.33,739.1,5713.16,3067.09,682.25,912.72,2649.94,2179.26,434.21,1395.48,1164.74,1239.87,1450.07,1737.56,1936.07,2084.7,3724.88,3175.45,3518.94,4032.18,4183.88,3513.9,3802.59,4534.78,4710.24,3763.7,4769.24,5486.99,4018.16,2857.43,4742.94,1892.88,2155.62,1381.97,3016.34,6483.73,4580.09,2196.56,4165.76,4123.08,4204.64,4455.12,1937.19,2608.27,4534.78,5653.86,914.66,4081.4,3312.88,3428.05,2310.34,1878.92,991.02,5007.91,2139.89,4214.12,3074.35,3505.87,1139.38,3348.53
3062,7316.15,14382.07,3551.42,4013.75,3777.54,587.62,227.78,306.42,0.0,1030.82,3018.21,3150.23,3009.43,3150.3,3200.38,2751.6,623.5,5993.42,2786.45,566.65,797.12,2930.2,2063.66,318.61,1675.74,1445.0,1038.31,1248.5,1535.99,1734.51,1883.14,3609.28,2973.88,3403.34,3916.58,4464.15,3794.16,4082.85,4816.24,4594.64,3648.1,4653.64,5371.39,4298.42,2655.87,4627.34,1691.32,1954.05,1662.23,2900.74,6368.13,4464.49,2080.96,4050.16,4007.48,4089.04,4339.52,1735.62,2492.67,4816.24,4059.18,799.06,3965.8,3593.14,3312.45,2108.78,1677.35,875.42,4892.31,1938.33,4098.52,3354.61,3389.22,1419.65,3341.2
