,0,1,2540,2964,2965,2969,2970,3000,3001,3019,3020,3022,3073,3079,3084,3087,3091,3093,3094,3097,3099,3102,3113,3951,4242,4251,4253,4254,4255,4256,4258,4265,4266,4267,4268,4270,4279,4281,4282,4283,4284,4285,4286,4287,4288,4289,4290,4291,4292,4293,4294,4295,4296,4297,4298,4299,4300,4301,4302,4303,4304,4305,4306,4307,4308,4309,4310,4311,4312,4313,4314,4315,4320,4323,4324,4332,4333,4334,4338,4340,4341,4344,4347,4349,4350,4352,4355,4357,4362,4363,4365,4368,4369,4370,4371,4372,4373,4374,4377,4383,4389,4390,4391,4394,4395,4396,4398,4406,4408,4409,4410,4411,4412,4415,4417,4418,4419,4431,4433,4436,4739,5126,5287,5386,5389,5390,5391,5392,6376,6378,6389,6390,6399,6401,6411,6413,6414,6418,6421,6445,6456,6496,6507,6539
0,0.0,7093.24,8197.82,1772.72,2046.09,2067.51,590.48,966.41,754.45,2011.1,2157.56,2323.98,2548.18,2989.8,2206.67,725.81,1729.8,2555.34,2366.58,2440.23,1617.99,2666.48,2334.47,6957.94,5438.4,6716.16,6766.06,8421.14,7260.47,6870.42,8936.15,8165.7,8265.46,7724.01,8347.59,7436.36,6606.92,7234.77,7575.3,7757.5,7787.64,8086.86,7956.26,9332.81,9355.75,9462.09,9355.46,9334.71,8917.0,9222.8,7681.79,6620.58,6950.03,7175.39,7246.21,6962.7,6464.53,6271.52,5690.06,5738.33,5687.12,6160.79,6938.25,3263.16,3601.78,4699.93,4838.9,5647.42,5765.74,5695.6,5732.08,5755.57,6252.83,4891.29,5178.22,5117.76,5655.48,5714.31,5469.16,5726.64,6072.54,6631.84,6348.47,6230.95,5996.35,6144.4,6828.48,7246.9,7533.8,7204.51,6940.35,6833.34,9237.92,7187.84,7443.15,7698.9,7503.77,7444.14,7067.7,6128.79,4790.99,6313.92,6617.57,5759.74,7252.29,7512.71,7301.69,7729.44,5459.8,2938.6,6671.83,8009.35,8567.89,8718.73,9088.45,9102.65,8885.86,5967.69,6521.17,7859.24,5433.67,7068.3,4959.93,6491.82,6352.96,6710.21,6448.42,9342.92,6821.87,6941.75,6693.89,6630.44,7380.36,7157.31,15832.77,8024.99,15928.21,16012.58,6777.05,2861.54,6941.81,6697.77,3705.26,7006.63
1,7284.57,0.0,2669.55,5353.96,5044.82,5137.2,6602.52,7078.1,6954.73,6206.77,5811.69,5636.23,6202.32,5395.2,6378.79,6837.5,5717.15,6317.18,4892.68,6612.35,7729.68,5683.8,5404.16,7342.63,1735.96,4186.34,4740.61,5891.33,4730.65,4340.6,5507.57,4725.11,4824.87,4408.47,4907.0,4120.82,3291.38,3794.17,4134.71,4316.91,4347.05,2558.6,2428.0,3743.75,3766.69,3873.03,3766.4,3745.66,3327.94,3633.74,2257.56,2886.65,3485.25,3710.61,3781.43,3497.92,2999.75,3022.34,1956.13,2004.4,1953.2,1716.45,1174.3,4932.78,4768.69,4517.07,4656.03,5106.05,5030.8,5034.57,4779.7,4803.18,5001.49,6058.2,6571.82,7664.57,6599.67,6213.3,5667.68,6210.54,6627.27,7133.84,6737.2,6489.23,6480.25,5961.7,6640.64,7882.31,7632.33,7303.04,6734.91,6179.18,6396.99,5401.25,5656.56,5169.08,5308.39,4914.33,5281.11,6211.34,6562.01,6906.41,4483.18,6922.73,795.11,4047.93,5515.1,5199.62,6911.37,4870.98,7038.39,2715.61,5139.31,5290.14,5659.86,5292.65,5457.27,4676.72,3991.35,2270.19,6835.42,3603.52,6209.5,4705.22,6741.69,4180.39,984.5,6501.99,3381.27,4860.97,3253.29,4584.05,7478.89,7255.85,3857.75,1808.36,4023.79,4064.63,6946.97,5878.85,4411.99,3232.99,4202.13,3986.18
2540,8427.35,4502.09,0.0,6496.74,6187.59,6279.98,7745.29,8220.88,8097.5,7349.54,6954.47,6779.0,7345.09,6537.97,7521.57,7980.28,6859.92,7459.96,6035.46,7755.12,8872.45,6826.57,6546.94,6081.65,2878.74,2767.93,3620.95,3902.49,3231.87,2922.19,3149.44,1673.12,1772.88,2006.49,1855.01,2634.43,1804.99,1254.71,751.78,612.04,904.23,471.18,226.05,2152.34,2175.28,2281.62,2174.99,2154.25,1736.53,2042.33,760.72,1815.71,1577.92,1053.86,1425.39,1385.55,1582.06,1794.87,2864.7,3147.17,3095.97,3569.64,4347.1,6075.55,5911.47,4501.26,4666.14,3986.39,3911.14,3914.91,3660.04,3683.52,3881.84,5053.47,5235.81,6544.91,5480.01,5093.64,4548.03,5090.88,5507.61,5872.86,5617.54,5369.58,5360.59,4842.04,5379.67,6764.01,5934.34,5547.27,5473.94,5059.52,4786.99,4281.59,4073.7,3750.19,3889.5,3495.43,4161.45,5091.69,5442.35,5786.75,3363.52,5803.07,4661.14,1571.19,4395.44,3113.16,5791.71,6013.75,5777.41,417.42,2781.19,2932.02,2372.75,2240.66,3099.15,3557.07,2572.94,678.78,5491.26,1247.48,5089.84,3585.57,5622.03,3060.73,3857.26,4891.99,1504.47,3442.07,1632.46,3464.39,5718.03,5994.87,2266.34,844.52,2432.38,2473.22,5685.99,7021.63,3292.34,1484.54,5344.91,2499.8
2964,1979.87,5369.78,6474.35,0.0,322.63,344.05,1297.82,1773.4,1650.02,1886.24,1491.17,1315.7,750.24,1074.67,2058.26,1532.8,412.44,1996.66,643.12,2291.82,2424.97,1363.27,611.01,6221.83,3714.94,4992.69,5042.59,6697.68,5537.01,5146.96,7212.69,6442.24,6542.0,6000.55,6624.13,5712.9,4883.46,5511.31,5851.84,6034.04,6064.18,6363.4,6232.79,7609.35,7632.29,7738.63,7632.0,7611.25,7193.54,7499.34,5958.32,4897.12,5226.57,5451.93,5522.75,5239.24,4741.07,4548.06,3966.59,4014.86,3963.66,4437.33,5214.79,1539.7,1878.32,2976.47,3115.44,3923.96,4042.28,3972.13,4008.62,4032.1,5064.62,3167.83,3681.45,5924.75,6462.46,4869.61,4339.09,4881.94,5298.67,5895.73,5503.77,5386.25,5151.65,6024.83,6703.77,6553.71,6797.69,6468.4,6798.04,6242.31,6815.9,5464.38,5719.69,5975.44,5780.31,5720.68,5344.24,5284.09,4571.93,5577.81,4894.11,5540.68,5528.83,5789.25,5578.23,6005.98,6266.79,1215.14,5935.72,6285.89,6844.43,6995.26,7364.99,7379.19,7162.4,4244.23,4797.71,6135.78,3945.05,5344.83,4740.88,4768.35,5508.26,4986.75,4724.96,6920.9,5098.41,5218.29,4970.43,4906.98,6644.25,6421.2,7723.35,6301.53,7889.39,7930.23,7010.1,1558.33,5218.35,4974.3,1981.8,5283.17
2965,2253.23,5060.63,6165.21,322.63,0.0,105.87,1571.18,2046.77,1923.39,1577.09,1182.02,1006.56,743.13,765.52,1749.12,1806.17,685.81,1687.51,333.98,1982.67,2698.34,1054.12,372.83,5912.68,3405.79,4683.55,4733.45,6388.54,5227.86,4837.81,6903.54,6133.1,6232.85,5691.4,6314.99,5403.75,4574.31,5202.16,5542.7,5724.89,5755.03,6054.26,5923.65,7300.2,7323.14,7429.48,7322.85,7302.11,6884.39,7190.19,5649.18,4587.97,4917.42,5142.78,5213.6,4930.09,4431.92,4238.91,3657.45,3705.72,3654.51,4128.19,4905.64,1230.55,1569.17,2667.33,2806.29,3614.81,3733.13,3662.99,3699.48,3722.96,4755.48,2858.68,3372.31,5688.05,6225.77,4560.46,4029.94,4572.79,4989.52,5586.58,5194.62,5077.1,4842.5,5715.69,6394.62,6244.57,6488.54,6159.25,6488.89,5933.16,6506.75,5155.23,5410.54,5666.29,5471.16,5411.54,5035.09,4974.94,4262.79,5268.66,4584.97,5231.54,5219.68,5480.1,5269.08,5696.83,6030.09,905.99,5626.58,5976.74,6535.29,6686.12,7055.84,7070.04,6853.25,3935.08,4488.57,5826.64,3635.9,5035.69,4431.73,4459.21,5199.11,4677.6,4415.81,6611.75,4789.26,4909.14,4661.28,4597.84,6335.1,6112.05,7414.2,5992.38,7580.24,7621.08,6700.95,1249.18,4909.2,4665.16,1672.65,4974.03
2969,2238.13,5161.67,6266.24,307.52,114.51,0.0,1556.08,2031.66,1908.29,1678.13,1283.05,1107.59,1057.76,866.56,1850.15,1791.06,670.71,1788.54,435.01,2083.71,2683.23,1155.15,282.93,6013.72,3506.82,4784.58,4834.48,6489.57,5328.89,4938.85,7004.58,6234.13,6333.89,5792.43,6416.02,5504.78,4675.34,5303.19,5643.73,5825.93,5856.07,6155.29,6024.68,7401.24,7424.17,7530.51,7423.88,7403.14,6985.42,7291.23,5750.21,4689.01,5018.46,5243.81,5314.63,5031.12,4532.96,4339.94,3758.48,3806.75,3755.55,4229.22,5006.67,1331.59,1670.21,2768.36,2907.32,3715.84,3834.16,3764.02,3800.51,3823.99,4856.51,2959.72,3473.34,5789.08,6326.8,4661.5,4130.97,4673.83,5090.56,5687.61,5295.65,5178.13,4943.54,5816.72,6495.66,6345.6,6589.58,6260.28,6589.93,6034.2,6607.78,5256.27,5511.57,5767.32,5572.2,5512.57,5136.12,5075.97,4363.82,5369.69,4686.0,5332.57,5320.72,5581.14,5370.12,5797.86,6131.12,1007.03,5727.61,6077.78,6636.32,6787.15,7156.87,7171.08,6954.28,4036.12,4589.6,5927.67,3736.94,5136.72,4532.76,4560.24,5300.14,4778.63,4516.84,6712.78,4890.29,5010.17,4762.31,4698.87,6436.14,6213.09,7515.24,6093.42,7681.27,7722.12,6801.98,1350.21,5010.24,4766.19,1773.68,5075.06
2970,797.63,6618.34,7722.91,1297.82,1571.18,1592.61,0.0,591.16,467.79,1389.45,1535.91,1702.33,1926.53,2323.23,1585.02,350.56,1254.89,1933.69,1891.68,1818.58,1242.73,2044.83,1859.57,6336.29,4963.49,6241.25,6291.15,7946.24,6785.56,6395.52,8461.25,7690.8,7790.56,7249.1,7872.69,6961.45,6132.01,6759.87,7100.4,7282.6,7312.74,7611.96,7481.35,8857.91,8880.85,8987.19,8880.55,8859.81,8442.09,8747.9,7206.88,6145.68,6475.13,6700.48,6771.3,6487.79,5989.63,5796.61,5215.15,5263.42,5212.22,5685.89,6463.35,2788.26,3126.88,4225.03,4363.99,5172.51,5290.84,5220.69,5257.18,5280.66,6313.18,4416.39,4930.01,4496.12,5033.83,5092.66,4847.51,5104.99,5450.89,6010.19,5726.82,5609.3,5374.7,5522.75,6206.84,6625.25,6912.15,6582.86,6318.7,6211.7,8616.28,6712.94,6968.24,7223.99,7028.87,6969.24,6592.79,5507.14,4169.35,5692.27,6142.67,5138.1,6777.39,7037.81,6826.79,7254.53,4838.15,2463.7,6050.19,7534.45,8092.99,8243.82,8613.54,8627.75,8410.95,5492.79,6046.27,7384.34,5193.61,6593.39,4338.29,6016.91,5731.31,6235.3,5973.51,8721.28,6346.96,6466.84,6218.98,6155.54,6758.71,6535.66,8971.91,7550.09,9137.94,9178.79,6155.4,2239.89,6466.91,6222.86,3230.35,6531.73
3000,975.37,7130.87,8235.45,1810.35,2083.72,2105.14,628.11,0.0,266.07,1724.4,1870.85,2037.28,2261.48,2703.09,1919.97,216.04,1767.43,2268.64,2404.21,2153.53,728.14,2379.78,2372.1,6671.24,5476.03,6753.79,6803.69,10096.34,7298.1,6908.05,10611.35,8203.33,8303.09,7761.64,8385.22,7473.99,6644.55,7272.4,7612.94,7795.13,7825.27,8124.49,7993.89,9370.44,9393.38,9499.72,9393.09,9372.34,8954.63,9260.43,7719.42,6658.21,6987.66,7213.02,7283.84,7000.33,6502.16,6309.15,5727.69,5775.96,5724.75,6198.42,6975.88,3300.79,3639.41,4737.56,4876.53,5685.05,5803.37,5733.23,5769.71,5793.2,5966.13,4928.92,4891.52,4831.06,5368.78,5427.61,5182.45,5439.94,5785.84,6345.13,6061.77,5944.24,5709.65,5857.69,6541.78,6960.19,7247.1,6917.81,6653.65,6546.64,8951.22,7225.47,6460.16,7736.53,7541.4,7481.77,7105.33,5842.08,4504.29,6027.22,6655.2,5473.04,7289.92,7550.34,7339.32,9404.63,5173.1,2976.23,6385.13,8046.98,10243.09,10393.92,10763.64,10777.85,10561.05,6005.32,6558.8,7896.88,5146.97,7105.93,4673.23,6529.45,6066.25,6747.84,6486.05,9056.22,6859.5,6979.38,6731.52,6668.07,7093.66,6870.61,9484.44,8062.62,9650.48,9691.32,6490.35,2574.84,6979.44,6735.4,3742.89,7044.26
3001,754.45,7076.63,8181.2,1756.1,2029.47,2050.9,573.87,274.79,0.0,1670.15,1816.61,1983.04,2207.23,2648.85,1865.72,161.79,1713.18,2214.39,2349.97,2099.28,926.36,2325.53,2317.86,6616.99,5421.78,6699.54,6749.44,10042.1,7243.85,6853.81,10557.1,8149.09,8248.85,7707.39,8330.98,7419.74,6590.3,7218.15,7558.69,7740.89,7771.03,8070.25,7939.64,9316.2,9339.13,9445.47,9338.84,9318.1,8900.38,9206.19,7665.17,6603.97,6933.42,7158.77,7229.59,6946.08,6447.92,6254.9,5673.44,5721.71,5670.51,6144.18,6921.64,3246.55,3585.17,4683.32,4822.28,5630.8,5749.13,5678.98,5715.47,5738.95,5911.88,4874.68,4837.27,4776.82,5314.53,5373.36,5128.21,5385.69,5731.59,6290.89,6007.52,5890.0,5655.4,5803.45,6487.54,6905.95,7192.85,6863.56,6599.41,6492.4,8896.98,7171.23,6405.91,7682.28,7487.16,7427.53,7051.08,5787.84,4450.05,5972.97,6600.96,5418.8,7235.68,7496.1,7285.08,9350.39,5118.85,2921.99,6330.89,7992.74,10188.85,10339.68,10709.4,10723.61,10506.81,5951.08,6504.56,7842.63,5092.72,7051.68,4618.99,6475.2,6012.01,6693.59,6431.8,9001.98,6805.25,6925.13,6677.27,6613.83,7039.41,6816.36,9430.2,8008.38,9596.23,9637.08,6436.1,2520.59,6925.2,6681.15,3688.64,6990.02
