,0,1,2539,2971,2972,2973,2974,2975,2976,2977,2978,2979,2980,2982,2983,2984,2985,2986,2988,2999,3002,3003,3004,3005,3006,3007,3008,3011,3012,3013,3014,3015,3016,3017,3018,3023,3075,3076,3081,3089,3096,3112,3114,3115,3116,3753,3754,3755,3756,3757,3758,3759,3760,3761,3762,3763,3806,3828,3829,3833,3834,3845,3846,3847,3848,3862,3878,3879,6169,6369,6453,6498
0,0.0,7093.24,1505.35,1105.09,1488.06,1353.82,1252.43,1387.98,1673.59,1519.51,1366.12,2888.17,1044.0,2038.37,2303.76,2509.46,2478.29,2544.12,2481.44,1319.69,1475.19,1458.25,1957.18,2948.98,4270.66,2342.11,2534.38,2965.32,2640.05,2237.67,2860.69,2628.73,2144.33,1933.15,1631.55,2732.21,2411.67,1241.78,1310.17,2753.44,3172.95,1415.78,1096.33,2557.96,2506.52,3636.29,3868.98,4915.08,5244.96,4635.88,4413.15,3668.37,3512.81,4903.87,5195.25,4882.69,3834.18,5300.7,3595.32,4177.58,2796.72,5583.04,5407.43,5321.23,5440.63,3210.01,3434.07,4875.85,3525.4,989.7,4580.92,1267.69
1,7284.57,0.0,7617.04,6363.53,7065.8,6931.56,8000.87,8136.43,8422.03,8267.95,8114.56,9636.61,7792.44,8150.06,8415.45,8621.15,8589.98,8655.81,9229.88,7431.38,7171.47,6658.21,7157.14,8148.94,7695.7,7542.07,7734.34,8165.28,7840.01,7437.64,8060.65,7828.7,7344.29,6699.04,6831.52,7932.17,9160.11,6771.73,6612.11,7953.41,8372.92,8164.22,7208.02,9306.4,9254.96,7061.33,7211.06,7658.41,7988.3,7379.21,8718.64,8613.38,8719.81,7647.2,7938.59,7626.02,9034.15,8044.04,9707.01,7498.56,8908.41,8326.38,8150.77,8064.56,8183.96,8409.97,8634.03,7619.18,8732.4,7738.15,7324.25,7379.38
2539,1582.0,7737.51,0.0,3020.44,2585.34,2666.16,1352.67,1488.23,1773.83,1619.75,1466.37,2871.23,424.94,761.84,1027.23,1232.93,1201.76,1267.59,1461.05,441.27,1795.12,1778.18,2277.12,3268.92,4590.59,2662.05,2854.32,3285.25,2959.98,2557.61,3180.63,2948.67,2464.27,2253.09,1951.49,3052.15,1478.19,1561.72,1630.11,3073.38,3492.89,1516.02,1416.27,1624.47,1752.01,3956.22,4188.92,5235.01,4553.23,4955.82,3993.48,4006.97,3851.41,5223.81,5515.19,5202.62,3179.9,5620.64,2312.1,4497.52,1513.5,5902.98,5727.37,5641.17,5760.57,3529.94,3754.01,5195.78,3864.0,575.71,4900.86,279.03
2971,1105.09,6379.34,2915.79,0.0,382.97,248.73,1388.53,1202.37,1225.34,1195.71,1230.45,3433.71,1589.54,3448.81,3714.2,3919.9,3888.73,3348.14,3026.98,2730.13,2885.62,2868.69,3367.62,4359.42,5681.09,3752.55,3944.82,4375.75,4050.49,3648.11,4271.13,4039.17,3554.77,3343.59,3041.99,4142.65,2957.21,2652.22,2720.61,4163.88,4583.39,1236.51,2506.77,3103.5,3052.06,5046.72,5279.42,6325.51,6655.4,6046.32,5823.59,5078.81,4923.25,6314.31,6605.69,6293.13,5244.62,6711.14,5005.76,5588.02,4207.16,6993.48,6817.87,6731.67,6851.07,4620.44,4844.51,6286.29,4935.84,1535.25,5991.36,2678.13
2972,1488.06,7090.26,2587.87,382.97,0.0,134.24,1283.27,1097.11,1120.08,1090.45,1125.2,2662.41,2334.02,3831.78,4097.17,3798.22,3737.39,3642.49,3321.34,3113.1,3268.59,3251.65,3750.58,4742.38,6064.06,4135.52,4327.78,4758.72,4433.45,4031.08,4654.1,4422.14,3937.74,4098.99,3424.96,4525.61,3251.57,3035.19,3103.58,4546.85,4966.36,1131.25,2889.74,3397.86,3346.42,5429.69,5662.39,6708.48,7038.37,6429.28,6206.55,5461.77,5306.21,6697.27,6988.66,6676.09,5627.59,7094.11,5388.73,5970.98,4590.13,7376.45,7200.84,7114.63,7234.03,5003.41,5227.47,6669.25,5318.8,2227.49,6374.32,3061.1
2973,1353.82,6956.02,3164.51,248.73,134.24,0.0,1364.09,1177.93,1200.9,1171.27,1206.01,2743.23,2414.84,3697.54,3962.93,4168.62,3818.2,3723.31,3402.16,2978.86,3134.35,3117.41,3616.34,4608.14,5929.82,4001.28,4193.54,4624.48,4299.21,3896.84,4519.86,4287.9,3803.5,3964.75,3290.72,4391.38,3332.38,2900.95,2969.34,4412.61,4832.12,1212.07,2755.5,3478.67,3427.24,5295.45,5528.15,6574.24,6904.13,6295.04,6072.32,5327.53,5171.97,6563.03,6854.42,6541.85,5493.35,6959.87,5254.49,5836.74,4455.89,7242.21,7066.6,6980.39,7099.79,4869.17,5093.23,6535.01,5184.56,2308.3,6240.09,2926.86
2974,1290.2,8171.65,1383.43,1388.53,1283.27,1364.09,0.0,242.77,465.54,323.79,344.79,2523.63,1129.59,2792.45,2649.0,2593.78,2532.96,2438.06,2116.91,2073.77,2229.26,2212.32,2711.25,3703.05,5024.73,3096.19,3288.45,3719.39,3394.12,2991.75,3614.77,3382.81,2898.41,2687.23,2385.63,3486.28,2047.14,1995.86,2064.25,3507.52,3927.03,175.11,1850.41,2193.42,2141.99,4390.36,4623.06,5669.15,5999.04,5389.96,5167.23,4422.44,4266.88,5657.94,5949.33,5636.76,4588.26,6054.78,4349.4,4931.65,3550.8,6337.12,6161.51,6075.3,6194.71,3964.08,4188.14,5629.92,4279.47,1023.05,5335.0,2021.77
2975,1425.76,8307.21,1518.99,1202.37,1097.11,1177.93,242.77,0.0,351.43,321.8,356.54,2659.19,1265.15,2928.01,2784.56,2729.34,2668.51,2573.62,2252.47,2209.33,2364.82,2347.88,2846.81,3838.61,5160.29,3231.74,3424.01,3854.95,3529.68,3127.31,3750.32,3518.37,3033.96,2822.78,2521.19,3621.84,2182.69,2131.42,2199.81,3643.08,4062.59,254.27,1985.97,2328.98,2277.55,4525.92,4758.62,5804.71,6134.6,5525.51,5302.78,4558.0,4402.44,5793.5,6084.89,5772.32,4723.82,6190.34,4484.96,5067.21,3686.36,6472.67,6297.07,6210.86,6330.26,4099.64,4323.7,5765.48,4415.03,1158.61,5470.55,2157.33
2976,1676.91,8558.35,1770.14,1225.34,1120.08,1200.9,465.54,351.43,0.0,184.1,307.47,2910.34,1516.29,3179.15,3035.71,2980.49,2919.66,2824.76,2503.61,2460.47,2615.96,2599.02,3097.96,4089.76,5411.43,3482.89,3675.16,4106.09,3780.82,3378.45,4001.47,3769.51,3285.11,3073.93,2772.33,3872.99,2433.84,2382.56,2450.95,3894.22,4313.73,313.52,2237.11,2580.13,2528.69,4777.06,5009.76,6055.85,6385.74,5776.66,5553.93,4809.15,4653.58,6044.65,6336.03,6023.46,4974.96,6441.48,4736.1,5318.36,3937.5,6723.82,6548.21,6462.01,6581.41,4350.78,4574.85,6016.63,4666.17,1409.76,5721.7,2408.47
