,0,1,3164,3165,3166,3167,3168,3170,3171,3172,3199,3200,3201,3202,3203,3204,3205,3206,3207,3208,3210,3217,3221,3225,3249,3261,3262,3263,3264,3265,3266,3547,3551,3553,3554,3555,3556,3557,3560,3900,3903,3909,3911,3912,3913,3914,3916,3917,3920,3921,3925,3927,3929,3931,3933,3953,4148,4155,4230,4231,4233,6379,6455,6481,6494,6508,6563
0,0.0,7093.24,11558.98,11697.62,11665.6,11789.07,11812.89,10968.1,10877.33,10513.04,7496.45,7782.77,8032.43,8046.97,7820.85,7749.61,8101.66,7758.69,7726.75,7709.49,12153.81,11975.25,12026.62,11789.47,10938.17,11939.35,11962.83,11939.43,12194.49,12147.0,11634.65,11624.34,12066.44,11783.99,11670.36,11830.54,11669.44,11501.7,11894.97,6396.81,7064.41,7386.61,7544.18,8209.08,9699.11,8894.09,7457.85,7582.22,7666.01,7461.61,7455.38,7328.05,7421.05,7559.1,7163.64,7498.01,7210.4,7315.33,7372.64,10241.0,7512.74,12130.74,11640.5,11873.92,9788.86,7652.01,8234.42
1,7284.57,0.0,8332.79,8471.44,8439.41,8562.88,8586.7,8656.23,9033.3,9335.04,8384.8,8105.39,7907.02,7760.7,8504.39,8072.23,7206.08,6999.44,6967.51,7471.39,8927.62,8749.06,8800.43,8563.28,8863.97,8713.16,8736.64,8713.25,8968.3,8920.81,8408.46,8398.16,8840.25,8557.8,8444.17,8604.35,8443.25,8275.51,8668.78,7293.76,8527.41,8274.96,8432.53,9097.43,11508.54,10703.52,8346.2,8470.57,7577.0,8097.02,8343.73,7963.47,8309.4,8447.45,8051.99,8386.36,8098.75,8203.68,8260.99,9385.69,8401.09,8904.55,8414.32,8647.73,11598.29,8335.55,7948.15
3164,11082.56,8391.02,0.0,209.2,177.18,300.65,493.63,1019.59,1396.67,1698.41,3605.79,2587.97,2389.6,2243.28,2986.98,2554.82,2498.01,2825.58,2793.65,2763.32,1290.99,416.27,568.49,926.65,1227.34,620.09,504.69,364.8,736.36,688.87,449.69,761.52,1203.61,295.57,378.61,342.12,181.02,316.73,1032.15,3734.4,3890.54,3054.8,3271.64,4236.23,3871.91,3066.89,3387.41,3511.79,2985.52,2921.85,3706.86,3167.97,3223.73,3227.29,3195.57,3166.2,2878.59,3566.8,3624.11,4413.81,3764.21,419.16,81.53,314.94,3961.66,2818.13,2430.73
3165,11221.21,8529.67,209.2,0.0,108.69,342.5,443.7,1158.24,1535.32,1837.05,3744.44,2726.62,2528.25,2381.93,3125.62,2693.47,2636.65,2964.23,2932.29,2901.97,1429.64,553.73,518.56,1065.3,1365.99,570.16,454.76,314.87,686.43,638.93,588.34,900.17,1342.26,245.64,348.8,224.1,222.87,455.38,1170.8,3873.04,4029.18,3193.45,3410.29,4374.88,4010.56,3205.54,3526.06,3650.44,3124.17,3060.5,3845.5,3306.61,3362.38,3365.94,3334.21,3304.85,3017.24,3705.45,3762.76,4552.45,3902.86,524.3,290.73,524.15,4100.31,2956.78,2569.38
3166,11189.18,8497.64,177.18,108.69,0.0,181.81,335.01,1126.21,1503.29,1805.03,3712.41,2694.59,2496.22,2349.9,3093.6,2661.44,2604.63,2932.2,2900.27,2869.94,852.26,681.56,409.86,487.93,1333.96,461.47,346.07,206.18,577.73,530.24,351.1,868.14,764.89,136.95,240.11,351.94,62.19,186.44,593.43,3841.02,3997.16,3161.42,3378.26,4342.85,3978.53,3173.51,3494.03,3618.41,3092.14,3028.47,3813.48,3274.58,3330.35,3333.91,3302.19,3272.82,2985.21,3673.42,3730.73,4520.43,3870.83,652.14,258.71,492.12,4068.28,2924.75,2537.35
3167,11312.66,8621.11,300.65,342.5,181.81,0.0,293.87,1249.69,1626.76,1928.5,3964.57,2818.07,2619.69,2473.37,3217.07,2784.91,2728.1,3055.68,3023.74,2993.42,811.13,805.04,386.79,446.79,1457.43,420.33,322.99,183.11,554.66,507.17,169.29,991.62,723.75,180.94,77.96,475.41,127.81,160.51,552.29,3964.49,6040.64,3284.89,3630.41,4595.0,4230.68,3425.66,3617.5,3741.88,3215.61,3151.95,6034.81,3398.06,3453.83,3457.38,3425.66,3396.29,3108.68,3796.9,3854.21,4772.58,3994.3,775.61,382.18,615.59,4320.43,3048.22,2660.82
3168,11338.31,8646.77,823.92,962.57,357.04,293.87,0.0,1275.34,1652.42,1994.15,3712.19,3998.5,2645.35,2499.03,4196.28,3965.35,2753.75,3081.33,3049.39,3019.07,558.75,1240.19,238.51,194.41,1483.08,126.46,174.71,151.32,388.09,358.88,124.58,1017.27,471.38,220.1,256.2,1095.48,400.68,315.24,299.91,4855.11,5788.27,4175.52,3378.04,4342.62,3978.31,3173.29,4508.13,4632.51,4194.82,4131.16,5782.44,4377.27,4344.45,4348.01,4316.28,4286.92,3999.31,4687.52,4744.83,4520.2,4884.93,1395.68,905.45,1138.86,4068.06,4027.43,2686.48
3170,10750.94,8883.85,1061.0,1199.65,1167.62,1291.1,1314.92,0.0,473.0,774.73,2682.12,2968.43,3218.09,3232.63,3166.21,2935.28,3520.58,3626.77,3286.48,3603.09,1655.84,1477.27,1528.65,1291.5,303.67,1441.38,1464.85,1441.46,1696.52,1649.02,1136.68,838.8,1568.46,1286.02,1172.39,1332.56,1171.47,1003.72,1397.0,3825.04,4758.2,3145.45,2347.97,3312.55,2948.24,2143.22,3478.06,3602.44,3164.75,3101.09,4752.37,3347.2,3314.38,3317.94,3286.21,3256.85,2969.24,3657.45,3714.76,3490.13,3854.86,1632.76,1142.53,1375.94,3037.99,2997.36,3420.08
3171,10663.99,9189.49,1366.64,1505.29,1473.26,1596.74,1620.56,476.81,0.0,687.78,2595.16,2881.48,3131.14,3145.68,3079.25,2848.32,3433.62,3539.81,3638.72,3516.14,1961.47,1782.91,1834.29,1597.14,446.88,1747.02,1770.49,1747.1,2002.16,1954.66,1442.32,1144.44,1874.1,1591.66,1478.03,1638.2,1477.11,1309.36,1702.64,3738.09,4671.24,3058.49,2261.01,3225.6,2861.28,2056.26,3391.1,3515.48,3077.8,3014.13,4665.41,3260.24,3227.42,3230.98,3199.26,3169.89,2882.28,3570.5,3627.81,3403.18,3767.9,1938.4,1448.17,1681.58,2951.03,2910.41,3333.13
