id,lat,lon
0,38.737235,-9.387461
1,38.74494,-9.327972
3164,38.685398102,-9.328900337
3165,38.684501648,-9.327159882
3166,38.684299469,-9.328249931
3167,38.683998108,-9.329609871
3168,38.681999207,-9.329190254
3170,38.687599182,-9.338479996
3171,38.685798645,-9.340600014
3172,38.682800293,-9.340729713
3199,38.688598633,-9.350669861
3200,38.68870163,-9.347559929
3201,38.688301086,-9.345820427
3202,38.68970108,-9.345870018
3203,38.689800262,-9.347960472
3204,38.688598633,-9.347900391
3205,38.69260025,-9.343359947
3206,38.694000244,-9.34360981
3207,38.694400787,-9.342989922
3208,38.693199158,-9.345490456
3210,38.680400848,-9.329409599
3217,38.687400818,-9.326530457
3221,38.682701111,-9.326999664
3225,38.681098938,-9.330400467
3249,38.686798096,-9.339650154
3261,38.68119812,-9.328160286
3262,38.681900024,-9.327949524
3263,38.682899475,-9.328579903
3264,38.68119812,-9.325530052
3265,38.681999207,-9.326069832
3266,38.682899475,-9.330050468
3547,38.687400818,-9.335519791
3551,38.679698944,-9.328940392
3553,38.683300018,-9.328359604
3554,38.683300018,-9.329460144
3555,38.684200287,-9.325579643
3556,38.68460083,-9.328849792
3557,38.684501648,-9.330180168
3560,38.680400848,-9.330490112
3900,38.697101593,-9.357210159
3903,38.693099976,-9.360890388
3909,38.689899445,-9.354260445
3911,38.687599182,-9.352470398
3912,38.689800262,-9.35708046
3913,38.689098358,-9.36013031
3914,38.685600281,-9.351599693
3916,38.691001892,-9.358480453
3917,38.691398621,-9.359109879
3920,38.692100525,-9.347379684
3921,38.691501617,-9.350500107
3925,38.694099426,-9.360219955
3927,38.692699432,-9.350379944
3929,38.690498352,-9.356149673
3931,38.689498901,-9.355420113
3933,38.691101074,-9.355190277
3953,38.689300537,-9.354780197
4148,38.690498352,-9.352950096
4155,38.693000793,-9.358550072
4230,38.69260025,-9.35863018
4231,38.686599731,-9.356780052
4233,38.695098877,-9.358539581
6379,38.686901093,-9.325400352
6455,38.685600281,-9.328209877
6481,38.687198639,-9.327580452
6494,38.688796997,-9.359172821
6508,38.691299438,-9.34899044
6563,38.689800262,-9.34510994
