id,lat,lon
0,38.737235,-9.387461
1,38.74494,-9.327972
2966,38.735599518,-9.368390083
2967,38.735401154,-9.366359711
3147,38.698898315,-9.335900307
3148,38.698699951,-9.334159851
3149,38.696899414,-9.331080437
3151,38.695598602,-9.341290474
3152,38.692298889,-9.336649895
3154,38.687900543,-9.338069916
3155,38.688499451,-9.337280273
3156,38.688098907,-9.335780144
3158,38.689601898,-9.330019951
3159,38.688899994,-9.328989983
3160,38.689300537,-9.333490372
3161,38.690200806,-9.333230019
3162,38.691001892,-9.332360268
3163,38.689201355,-9.33191967
3177,38.691200256,-9.336629868
3178,38.695899963,-9.340259552
3179,38.695899963,-9.339440346
3180,38.6977005,-9.339670181
3181,38.699199677,-9.339320183
3182,38.699798584,-9.338359833
3183,38.700698853,-9.336400032
3184,38.701198578,-9.335240364
3185,38.703399658,-9.335619926
3186,38.704498291,-9.336259842
3187,38.703601837,-9.335180283
3188,38.703899384,-9.336790085
3189,38.703998566,-9.337329865
3190,38.705299377,-9.334799767
3214,38.691299438,-9.329990387
3215,38.689399719,-9.337249756
3224,38.700500488,-9.339440346
3228,38.691501617,-9.340490341
3229,38.692401886,-9.340140343
3230,38.691200256,-9.339420319
3231,38.690898895,-9.340470314
3232,38.692901611,-9.337340355
3233,38.693099976,-9.338479996
3234,38.69260025,-9.339460373
3235,38.694801331,-9.341480255
3237,38.694900513,-9.334369659
3238,38.693199158,-9.333979607
3239,38.690799713,-9.334890366
3240,38.694900513,-9.335430145
3241,38.695800781,-9.335269928
3242,38.694301605,-9.334489822
3254,38.691898346,-9.341239929
3340,38.687999725,-9.34265995
3346,38.687999725,-9.336990356
3543,38.688999176,-9.341719627
3549,38.700199127,-9.334199905
4228,38.688400269,-9.343569756
4237,38.703899384,-9.33880043
4238,38.702701569,-9.34070015
4392,38.700698853,-9.341859818
4402,38.69960022,-9.341070175
4435,38.701599121,-9.338829994
5384,38.702301025,-9.335940361
6388,38.68806839,-9.333986282
6426,38.688800812,-9.342029572
6441,38.696998596,-9.329990387
6501,38.687721252,-9.342684746
6527,38.702400208,-9.337030411
