id,lat,lon
0,38.737235,-9.387461
1,38.74494,-9.327972
2968,38.736400604,-9.364159584
3131,38.707099915,-9.329039574
3132,38.705200195,-9.326390266
3133,38.702400208,-9.325400352
3134,38.700901031,-9.324480057
3135,38.70059967,-9.32022953
3136,38.700000763,-9.319749832
3137,38.699100494,-9.321579933
3138,38.698898315,-9.322520256
3139,38.700000763,-9.322850227
3141,38.701499939,-9.327340126
3142,38.699401855,-9.330929756
3143,38.699001312,-9.329030037
3144,38.699798584,-9.327150345
3145,38.698799133,-9.327039719
3218,38.703899384,-9.329239845
3220,38.701099396,-9.329959869
3498,38.702598572,-9.329899788
4236,38.706100464,-9.323490143
4241,38.736801147,-9.341489792
4243,38.736999512,-9.340169907
4244,38.729198456,-9.343379974
4245,38.727100372,-9.341320038
4246,38.723800659,-9.343560219
4247,38.723300934,-9.342329979
4248,38.72190094,-9.343460083
4250,38.720500946,-9.346839905
4257,38.712200165,-9.332810402
4259,38.715000153,-9.325460434
4260,38.713699341,-9.323309898
4261,38.715099335,-9.323730469
4262,38.716499329,-9.323889732
4263,38.717498779,-9.324250221
4264,38.718101501,-9.323630333
4271,38.715999603,-9.33178997
4274,38.717399596999996,-9.330780029
4275,38.717300415,-9.330860138
4276,38.718601227,-9.331219673
4277,38.719100952,-9.331689835
4278,38.719600677,-9.329979897
4378,38.719100952,-9.345899582
4382,38.713100433,-9.322199821
4388,38.714401245,-9.323399544
4393,38.716899872,-9.345879555
4397,38.729598999,-9.340760231
4400,38.705200195,-9.324199677
4408,38.704498291,-9.360150337
4412,38.710201263,-9.329000473
4413,38.709300995,-9.327409744
4414,38.71049881,-9.328209877
4420,38.715301514,-9.3291502
4421,38.713401794,-9.330149651
4422,38.713199615,-9.331089973
4423,38.712501526,-9.330639839
4424,38.711799622,-9.329959869
4425,38.71390152,-9.335929871
4426,38.713230133,-9.335828781
4430,38.712398529,-9.335599899
4432,38.73400116,-9.343440056
4434,38.721298218,-9.348059654
5126,38.726699829,-9.329540253
5320,38.720600128,-9.348879814
6420,38.706859589,-9.321247101
6431,38.704399109,-9.327989578
6432,38.70539856,-9.328000069
6447,38.703098297,-9.325969696
6448,38.703098297,-9.325090408
6521,38.722801208,-9.345690727
6572,38.738899231,-9.348779678
6595,38.719898224,-9.345729828
