id,lat,lon
0,38.737235,-9.387461
1,38.74494,-9.327972
2540,38.728500366,-9.319379807
2964,38.738399506,-9.373470306
2965,38.73789978,-9.370400429
2969,38.738498688,-9.371109962
2970,38.735401154,-9.386710167
3000,38.733798981,-9.392089844
3001,38.735500336,-9.391260147
3019,38.731700897,-9.37790966
3020,38.732200623,-9.376009941
3022,38.732498169,-9.374130249
3073,38.733898163,-9.376879692
3079,38.732498169,-9.369059563
3084,38.729499817,-9.375980377
3087,38.734798431,-9.390190125
3091,38.739299774,-9.375229836
3093,38.72769928,-9.373940468
3094,38.737701416,-9.368200302
3097,38.728599548,-9.373889923
3099,38.730800629,-9.39428997
3102,38.731899261,-9.372349739
3113,38.74079895,-9.372179985
3951,38.695800781,-9.350250244
4242,38.735801697,-9.339710236
4251,38.718017578,-9.341875076
4253,38.715301514,-9.342350006
4254,38.709098816,-9.334730148
4255,38.713699341,-9.337200165
4256,38.716499329,-9.338020325
4258,38.709400177,-9.324529648
4265,38.717098236,-9.325480461
4266,38.716899872,-9.326230049
4267,38.717300415,-9.32861042
4268,38.715900421,-9.326990128
4270,38.718200684,-9.334449768
4279,38.723800659,-9.333060265
4281,38.72359848,-9.327090263
4282,38.724601746,-9.322170258
4283,38.72480011,-9.320469856
4284,38.727401733,-9.326169968
4285,38.728401184,-9.32419014
4286,38.728599548,-9.321640015
4287,38.739601135,-9.313899994
4288,38.739398956,-9.31303978
4289,38.739898682,-9.311490059
4290,38.738098145,-9.312150002
4291,38.737201691,-9.313079834
4292,38.734100342,-9.314370155
4293,38.738498688,-9.313469887
4294,38.730499268,-9.325400352
4295,38.731700897,-9.332570076
4296,38.729099274,-9.331870079
4297,38.727798462,-9.328269958
4298,38.72600174,-9.327719688
4299,38.726501465,-9.330679893
4300,38.725601196,-9.333939552
4301,38.725601196,-9.336170197
4302,38.734901428,-9.33716011
4303,38.736099243,-9.337140083
4304,38.737400055,-9.338399887
4305,38.737701416,-9.342459679
4306,38.745998383,-9.336440086
4307,38.729598999,-9.363630295
4308,38.727798462,-9.361280441
4309,38.72869873,-9.355330467
4310,38.72869873,-9.353610039
4311,38.724998474,-9.352749825
4312,38.720298767,-9.352219582
4313,38.720901489,-9.351610184
4314,38.721801758,-9.350910187
4315,38.72069931,-9.350660324
4320,38.71269989,-9.348360062
4323,38.717700958,-9.358659744
4324,38.715000153,-9.362170219
4332,38.705299377,-9.363800049
4333,38.704498291,-9.358739853
4334,38.70690155,-9.350839615
4338,38.70980072,-9.353560448
4340,38.705799103,-9.356369972
4341,38.701900482,-9.355110168
4344,38.699001312,-9.351650238
4347,38.70349884,-9.353369713
4349,38.704399109,-9.352919579
4350,38.70470047,-9.353859901
4352,38.706001282,-9.34607029
4355,38.701499939,-9.34885025
4357,38.694000244,-9.351989746
4362,38.692901611,-9.346940041
4363,38.697299957,-9.346039772
4365,38.699699402,-9.348759651
4368,38.703601837,-9.342610359
4369,38.707199097,-9.343279839
4370,38.70980072,-9.345020294
4371,38.709098816,-9.34333992
4372,38.709201813,-9.339980125
4373,38.71049881,-9.341830254
4374,38.711399078,-9.339280128
4377,38.71149826,-9.346209526
4383,38.705101013,-9.349450111
4389,38.709098816,-9.362070084
4390,38.699798584,-9.35394001
4391,38.716499329,-9.343729973
4394,38.705200195,-9.359539986
4395,38.748100281,-9.333620071
4396,38.730499268,-9.328269958
4398,38.71269989,-9.344389915
4406,38.711299896,-9.336549759
4408,38.704498291,-9.360150337
4409,38.732398987,-9.364970207
4410,38.700698853,-9.350790024
4411,38.726699829,-9.320420265
4412,38.710201263,-9.329000473
4415,38.710601807,-9.325929642
4417,38.711898804,-9.325329781
4418,38.712600708,-9.326620102
4419,38.711898804,-9.327589989
4431,38.718799591,-9.350660324
4433,38.719299316,-9.340359688
4436,38.731700897,-9.322469711
4739,38.716400146,-9.363490105
5126,38.726699829,-9.329540253
5287,38.709598541,-9.358240128
5386,38.715999603,-9.350410461
5389,38.703800201,-9.351539612
5390,38.718601227,-9.342209816
5391,38.741798401,-9.337059975
5392,38.707401276,-9.341910362
6376,38.72480011,-9.330579758
6378,38.713199615,-9.340600014
6389,38.724601746,-9.331939697
6390,38.71559906,-9.343919754
6399,38.694198608,-9.347240448
6401,38.696998596,-9.348600388
6411,38.740200043,-9.313289642
6413,38.733501434,-9.324440002
6414,38.73690033,-9.310819626
6418,38.737300873,-9.311519623
6421,38.700099945,-9.349570274
6445,38.730365753,-9.371767998
6456,38.717498779,-9.340780258
6496,38.725849152,-9.332796097
6507,38.740291595,-9.356855392
6539,38.71944046,-9.33415699
